date,NDVI_p1_reverse
"Dec 25, 2021",0.356764
"Dec 20, 2021",0.656264
"Dec 15, 2021",0.509784
"Dec 10, 2021",0.652882
"Dec 5, 2021",0.589129
"Nov 30, 2021",0.644876
"Nov 25, 2021",0.337808
"Nov 20, 2021",0.545999
"Nov 15, 2021",0.314923
"Nov 10, 2021",0.398508
"Nov 5, 2021",0
"Oct 31, 2021",0.266667
"Oct 26, 2021",0.422142
"Oct 21, 2021",0.383347
"Oct 16, 2021",0.492591
"Oct 11, 2021",0.7029555
"Oct 6, 2021",0.206433
"Sep 26, 2021",0.00184615
"Sep 16, 2021",0.6064535
"Aug 27, 2021",0.580933
"Aug 17, 2021",0.487611
"Aug 12, 2021",0.3641
"Jul 8, 2021",0.338414
"Jun 28, 2021",0.370461
"Jun 23, 2021",0.485298
"Jun 8, 2021",0.316335
"Jun 3, 2021",0.341249
"May 29, 2021",0.272358
"May 24, 2021",0.417111
"May 14, 2021",0.282939
"May 9, 2021",0.219486
"May 4, 2021",0.1604265
"Apr 29, 2021",0.20949
"Apr 24, 2021",0.2749885
"Apr 19, 2021",0.219185
"Apr 9, 2021",0.397024
"Apr 4, 2021",0.601445
"Mar 30, 2021",0.339439
"Mar 25, 2021",0.472071
"Mar 20, 2021",0.646613
"Mar 15, 2021",0.596987
"Mar 10, 2021",0.701968
"Mar 5, 2021",0.81884
"Feb 28, 2021",0.774941
"Feb 23, 2021",0.806154
"Feb 18, 2021",0.696852
"Feb 8, 2021",0.747664
"Feb 3, 2021",0.098306
"Jan 19, 2021",0.646873
"Jan 14, 2021",0.0108335
"Jan 9, 2021",0.525199
"Jan 4, 2021",0.659753
